user_id;agent_id;extension;team_id;hire_date;status;employee_type;is_billable;vacation_day;created_at;position;manager_id;center;work_state
1;vdelrio;12345;;;active;;1;0;;Operador Asist. Serv. Aseg. I;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;AdministraciÃ³n DNASA
2;mcastillo;12345;;;active;;1;0;;Coord. De Asist. Serv. Aseg.;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;AdministraciÃ³n DNASA
3;milagonzalez;12345;;;active;;1;0;;Analista Control Y Monit. Serv.Aseg;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;Control y Monitoreo
4;wsabin;12345;;;active;;1;0;;Analista Control Y Monit. Serv.Aseg;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;Control y Monitoreo
5;jaquiros;12345;;;active;;1;0;;Analista Control Y Monit. Serv.Aseg;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;Control y Monitoreo
6;ferncastillo;12345;;;active;;1;0;;Analista Control Y Monit. Serv.Aseg;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;Control y Monitoreo
7;frchong;12345;;;active;;1;0;;Analista Control Y Monit. Serv.Aseg;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;Control y Monitoreo
8;jemoran;12345;;;active;;1;0;;Analista Control Y Monit. Serv.Aseg;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;Control y Monitoreo
9;dafuentes;12345;;;active;;1;0;;Coord. De Asist. Serv. Aseg.;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;Coord. De Asist. Serv. Aseg.
10;glguerra;12345;;;active;;1;0;;Coord. De Asist. Serv. Aseg.;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;Coord. De Asist. Serv. Aseg.
11;dreina;12345;;;active;;1;0;;Coord. De Asist. Serv. Aseg.;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;Coord. De Asist. Serv. Aseg.
12;lcortez;12345;;;active;;1;0;;Coord. De Asist. Serv. Aseg.;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;Coord. De Asist. Serv. Aseg.
13;vtejada;12345;;;active;;1;0;;Coord. De Asist. Serv. Aseg.;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;Coord. De Asist. Serv. Aseg.
14;vquiros;12345;;;active;;1;0;;Coord. De Asist. Serv. Aseg.;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;Coord. De Asist. Serv. Aseg.
15;antejada;12345;;;active;;1;0;;Coord. De Asist. Serv. Aseg.;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;Coord. De Asist. Serv. Aseg.
16;kchan;12345;;;active;;1;0;;Coord. Rend. Serv. De Asist. Aseg.;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;IngenierÃ­a DNASA
17;loguevara;12345;;;active;;1;0;;Coord. De Asist. Serv. Aseg.;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;IngenierÃ­a DNASA
18;aarchibold;12345;;;active;;1;0;;Operador Asist. Serv. Aseg. Ii;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;IngenierÃ­a DNASA
19;anbethancourt;12345;;;active;;1;0;;Operador Asist. Serv. Aseg. Ii;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;IngenierÃ­a DNASA
20;hfranco;12345;;;active;;1;0;;Admor. Soluciones Anal.Asist.Aseg.;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;IngenierÃ­a DNASA
21;dixguerrero;12345;;;active;;1;0;;Coord. De Asist. Serv. Aseg.;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;IngenierÃ­a DNASA
22;yrahman;12345;;;active;;1;0;;Coord. De Asist. Serv. Aseg.;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;IngenierÃ­a DNASA
23;marmosquera;12345;;;active;;1;0;;Admor. Soluciones Anal.Asist.Aseg.;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;IngenierÃ­a DNASA
24;ralgandona;12345;;;active;;1;0;;Jefe Control Y Monitoreo Serv. Aseg;;DirecciÃ³n Nancional de Asistencia de los Servicios al Asegurado;Jefe DNASA
